0,0, Header,1,17,192,
1,0, Start_track,,,,
1,0, Tempo,697675,,,
1,0, Time_signature,4,2,24,8
1,0, Key_signature,0,major,,
1,56052, Tempo,697675,,,
1,56084, Tempo,695934,,,
1,56100, Tempo,694203,,,
1,56148, Tempo,692480,,,
1,56244, Tempo,691623,,,
1,56292, Tempo,690767,,,
1,56340, Tempo,689655,,,
1,56356, Tempo,688805,,,
1,56372, Tempo,687957,,,
1,56436, Tempo,686266,,,
1,56468, Tempo,685424,,,
1,56500, Tempo,684585,,,
1,56532, Tempo,683747,,,
1,56564, Tempo,682911,,,
1,56596, Tempo,682076,,,
1,56692, Tempo,681818,,,
1,61434, Tempo,682911,,,
1,61450, Tempo,685424,,,
1,61466, Tempo,687957,,,
1,62960, Tempo,688805,,,
1,62976, Tempo,686266,,,
1,62992, Tempo,683747,,,
1,63008, Tempo,682076,,,
1,63024, Tempo,680988,,,
1,63040, Tempo,677686,,,
1,68800, Tempo,676866,,,
1,68816, Tempo,677686,,,
1,68832, Tempo,678509,,,
1,68848, Tempo,679333,,,
1,68864, Tempo,680160,,,
1,75994, Tempo,680160,,,
1,76026, Tempo,679333,,,
1,76106, Tempo,677686,,,
1,76170, Tempo,676866,,,
1,76202, Tempo,676047,,,
1,76234, Tempo,674416,,,
1,83124, Tempo,674416,,,
1,83188, Tempo,677686,,,
1,83252, Tempo,680988,,,
1,83412, Tempo,683747,,,
1,83444, Tempo,684585,,,
1,83476, Tempo,685424,,,
1,83508, Tempo,687110,,,
1,83524, Tempo,688805,,,
1,83556, Tempo,689913,,,
1,83588, Tempo,691623,,,
1,83620, Tempo,692480,,,
1,83636, Tempo,694203,,,
1,83652, Tempo,695934,,,
1,83684, Tempo,697931,,,
1,83716, Tempo,701442,,,
1,83748, Tempo,703212,,,
1,83764, Tempo,704990,,,
1,83780, Tempo,706138,,,
1,83812, Tempo,707932,,,
1,84480, Time_signature,7,3,12,8
1,85152, Time_signature,4,2,24,8
1,85920, Time_signature,9,3,12,8
1,86708, Tempo,707034,,,
1,86724, Tempo,705882,,,
1,86756, Tempo,704100,,,
1,86784, Time_signature,4,2,24,8
1,86804, Tempo,702326,,,
1,86836, Tempo,700561,,,
1,86852, Tempo,698806,,,
1,86884, Tempo,697675,,,
1,86916, Tempo,696803,,,
1,86932, Tempo,695934,,,
1,87552, Time_signature,7,3,12,8
1,88212, Tempo,696803,,,
1,88224, Time_signature,4,2,24,8
1,88228, Tempo,697675,,,
1,88276, Tempo,698806,,,
1,88308, Tempo,699683,,,
1,88340, Tempo,701442,,,
1,88372, Tempo,703212,,,
1,88404, Tempo,704990,,,
1,88452, Tempo,706138,,,
1,88484, Tempo,707034,,,
1,88500, Tempo,707932,,,
1,88548, Tempo,709736,,,
1,88660, Tempo,711549,,,
1,88820, Tempo,705882,,,
1,88980, Tempo,714540,,,
1,89012, Tempo,714285,,,
1,89572, Tempo,714540,,,
1,89604, Tempo,713371,,,
1,89796, Tempo,710642,,,
1,89956, Tempo,707932,,,
1,90020, Tempo,706138,,,
1,90052, Tempo,704990,,,
1,90084, Tempo,704100,,,
1,90116, Tempo,703212,,,
1,90132, Tempo,701442,,,
1,90148, Tempo,699683,,,
1,90164, Tempo,697931,,,
1,90180, Tempo,696803,,,
1,90196, Tempo,693341,,,
1,90212, Tempo,689655,,,
1,90228, Tempo,687110,,,
1,90244, Tempo,682911,,,
1,90276, Tempo,680988,,,
1,90292, Tempo,678509,,,
1,90324, Tempo,676047,,,
1,90340, Tempo,673346,,,
1,90356, Tempo,672536,,,
1,90526, Tempo,672536,,,
1,90542, Tempo,671730,,,
1,90622, Tempo,670120,,,
1,90654, Tempo,669319,,,
1,90686, Tempo,666926,,,
1,90718, Tempo,665874,,,
1,90750, Tempo,664294,,,
1,90782, Tempo,661157,,,
1,90814, Tempo,659599,,,
1,90830, Tempo,658566,,,
1,90846, Tempo,657793,,,
1,90878, Tempo,657022,,,
1,90910, Tempo,653955,,,
1,90958, Tempo,652432,,,
1,90974, Tempo,651417,,,
1,91054, Tempo,649907,,,
1,91070, Tempo,649155,,,
1,104836, Tempo,648404,,,
1,104852, Tempo,647655,,,
1,104884, Tempo,646908,,,
1,104932, Tempo,645419,,,
1,104980, Tempo,644421,,,
1,105028, Tempo,642945,,,
1,105060, Tempo,641475,,,
1,105092, Tempo,640012,,,
1,105108, Tempo,639283,,,
1,105124, Tempo,638555,,,
1,120456, Tempo,637574,,,
1,120472, Tempo,638555,,,
1,120504, Tempo,639283,,,
1,120536, Tempo,640012,,,
1,120568, Tempo,641475,,,
1,120616, Tempo,642208,,,
1,120664, Tempo,642945,,,
1,120792, Tempo,644421,,,
1,120952, Tempo,645162,,,
1,121000, Tempo,645419,,,
1,121512, Tempo,645419,,,
1,121528, Tempo,646163,,,
1,121928, Tempo,647655,,,
1,122280, Tempo,649155,,,
1,122552, Tempo,649155,,,
1,122616, Tempo,649907,,,
1,122872, Tempo,652174,,,
1,123288, Tempo,653955,,,
1,123640, Tempo,655485,,,
1,123720, Tempo,656253,,,
1,123736, Tempo,657793,,,
1,123768, Tempo,659599,,,
1,123800, Tempo,661157,,,
1,124328, Tempo,660378,,,
1,124376, Tempo,661938,,,
1,124440, Tempo,664294,,,
1,124504, Tempo,665874,,,
1,124568, Tempo,666666,,,
1,124600, Tempo,666926,,,
1,124664, Tempo,667722,,,
1,124824, Tempo,668519,,,
1,124872, Tempo,670120,,,
1,124904, Tempo,671730,,,
1,124936, Tempo,673346,,,
1,124984, Tempo,674416,,,
1,125032, Tempo,676047,,,
1,125112, Tempo,677686,,,
1,125192, Tempo,679333,,,
1,126286, Tempo,678509,,,
1,126302, Tempo,679333,,,
1,126318, Tempo,680160,,,
1,126382, Tempo,681818,,,
1,126430, Tempo,682911,,,
1,126462, Tempo,683747,,,
1,126478, Tempo,685424,,,
1,126526, Tempo,687110,,,
1,126542, Tempo,687957,,,
1,126558, Tempo,688805,,,
1,126590, Tempo,689913,,,
1,126654, Tempo,691623,,,
1,126718, Tempo,693341,,,
1,126766, Tempo,695068,,,
1,126782, Tempo,696803,,,
1,126798, Tempo,697931,,,
1,126830, Tempo,699683,,,
1,126862, Tempo,700561,,,
1,126878, Tempo,701442,,,
1,126910, Tempo,703212,,,
1,126942, Tempo,704990,,,
1,126958, Tempo,705882,,,
1,126990, Tempo,707932,,,
1,127038, Tempo,710642,,,
1,127054, Tempo,711549,,,
1,127054, End_track,,,,
2,0, Start_track,,,,
2,0, Instrument_t,melody (harmonica)  ,,,
2,0, Channel_prefix,0,,,
