Time,Track,Instrument,Beat,Octave,Note,Frequency,Duration,"Force (%)"
840,11,,118,6,Re,587.33,Whole,1
960,11,,118,5,Re,293.66,Sixteenth,79
960,11,,118,4,Re,146.83,Sixteenth,79
960,11,,118,3,Re,73.42,Whole,79
1920,9,,118,5,Re,293.66,Whole,79
2160,12,,118,7,La,1760,Whole,79
2877,4,,118,5,La,440,0,81
2877,4,,118,6,Re,587.33,Sixteenth,77
2878,5,,118,5,Re,293.66,Half,78
2879,4,,118,5,Re,293.66,Half,79
2880,2,,118,4,Do#,138.59,0,79
2880,2,,118,5,La,440,Half,77
2880,3,,118,4,Re,146.83,Half,76
2937,4,,118,5,La,440,Sixteenth,77
2938,4,,118,5,Re,293.66,Sixteenth,78
2940,2,,118,5,La,440,Sixteenth,80
2940,2,,118,4,Do#,138.59,Half,79
2940,3,,118,4,Re,146.83,Half,77
2940,5,,118,5,Re,293.66,Half,77
2941,4,,118,6,Re,587.33,Half,77
3000,2,,118,5,La,440,Half,1
3000,5,,118,5,La,440,Half,80
3060,5,,118,5,Re,293.66,Half,80
3123,5,,118,6,Mi,659.25,Half,78
3183,5,,118,5,Re,293.66,Half,80
3242,5,,118,6,Re,587.33,Half,81
3301,5,,118,5,Re,293.66,Half,80
3363,5,,118,5,Sol,392,Half,80
3423,5,,118,5,Sol,392,Half,80
3480,5,,118,6,Do#,554.37,Half,80
3542,5,,118,5,Sol,392,Half,80
3598,5,,118,5,Sol,392,Half,77
3659,5,,118,6,Do#,554.37,Half,78
3717,5,,118,5,Mi,329.63,Half,80
3781,5,,118,5,Re,293.66,Whole,81
3838,4,,118,6,Re,587.33,Sixteenth,77
3839,2,,118,5,La,440,Sixteenth,78
3839,3,,118,4,Re,146.83,Half,76
3839,4,,118,5,La,440,Sixteenth,81
3840,2,,118,4,Do#,138.59,Half,80
3842,4,,118,5,Re,293.66,Half,78
3897,5,,118,5,Re,293.66,Half,80
3899,4,,118,5,La,440,Sixteenth,79
3901,3,,118,4,Re,146.83,Half,81
3902,2,,118,5,La,440,Sixteenth,81
3902,2,,118,4,Do#,138.59,Half,80
3903,4,,118,6,Re,587.33,Sixteenth,81
3903,4,,118,5,Re,293.66,Half,80
3961,2,,118,5,La,440,Half,3
3963,5,,118,5,La,440,Half,80
4019,5,,118,5,Re,293.66,Half,80
4079,5,,118,6,Mi,659.25,Half,78
4137,5,,118,5,Re,293.66,Half,80
4197,5,,118,6,Re,587.33,Half,78
4260,5,,118,5,Re,293.66,Half,77
4317,5,,118,5,Sol,392,Half,80
4377,5,,118,5,Sol,392,Half,78
4437,5,,118,6,Do#,554.37,Half,80
4501,5,,118,5,Sol,392,Half,77
4558,2,,118,4,Sol#,207.65,Half,77
4561,5,,118,5,Sol,392,Half,80
4622,2,,118,4,Do#,138.59,Quarter,80
4622,5,,118,6,Do#,554.37,Half,81
4651,2,,118,4,Do#,138.59,Quarter,81
4677,2,,118,4,Re,146.83,Sixteenth,80
4680,2,,118,4,Re,146.83,Whole,80
4680,4,,118,6,Do#,554.37,Whole,77
4681,5,,118,5,Mi,329.63,Half,81
4682,3,,118,5,Do#,277.18,Whole,77
4737,5,,118,5,Re,293.66,Half,80
4798,2,,118,4,Do#,138.59,Sixteenth,80
4798,2,,118,5,La,440,Whole,80
4798,4,,118,5,Fa#,369.99,Sixteenth,81
4798,5,,118,5,Do#,277.18,Half,77
4799,3,,118,3,La#,116.54,Whole,77
4800,4,,118,4,La#,233.08,Sixteenth,80
4803,4,,118,5,La#,466.16,Whole,78
4860,5,,118,5,Re,293.66,Half,80
4917,5,,118,5,La,440,Half,80
4918,2,,118,5,Re#,311.13,Sixteenth,78
4919,2,,118,4,Re,146.83,Whole,81
4981,5,,118,5,Re,293.66,Half,81
5038,2,,118,5,Re#,311.13,Half,78
5038,5,,118,6,Mi,659.25,Half,81
5098,5,,118,5,Re,293.66,Half,79
5102,2,,118,4,Do#,138.59,Half,77
5157,5,,118,6,Re,587.33,Half,80
5158,2,,118,5,Re#,311.13,Sixteenth,78
5160,2,,118,4,Re,146.83,Half,78
5218,2,,118,4,Do#,138.59,Sixteenth,79
5218,2,,118,5,Re#,311.13,Half,80
5220,5,,118,5,Re,293.66,Half,80
5278,4,,118,5,La,440,Sixteenth,79
5279,2,,118,4,Do#,138.59,Sixteenth,78
5279,4,,118,5,Re,293.66,Sixteenth,80
5280,2,,118,5,La,440,Whole,81
5280,4,,118,6,Re,587.33,Whole,78
