Time,Track,Instrument,Beat,Octave,Note,Duration,"Force (%)"
840,11,,118,6,Re,Whole,1
960,11,,118,5,Re,Sixteenth,79
960,11,,118,4,Re,Sixteenth,79
960,11,,118,3,Re,Whole,79
1536,3,,111,5,Re,Whole,84
1728,3,,111,6,Re,Whole,84
1920,3,,111,5,La,Whole,84
1920,9,,118,5,Re,Whole,79
2112,3,,111,6,Sol,Whole,84
2160,12,,118,7,La,Whole,79
2496,3,,111,6,Sol,Whole,84
2688,3,,111,6,Re,Whole,84
2877,4,,118,5,La,0,81
2877,4,,118,6,Re,Sixteenth,77
2878,5,,118,5,Re,Half,78
2879,4,,118,5,Re,Half,79
2880,2,,118,4,"Do #",0,79
2880,2,,118,5,La,Half,77
2880,3,,111,4,La,Whole,83
2880,3,,118,4,Re,Half,76
2937,4,,118,5,La,Sixteenth,77
2938,4,,118,5,Re,Sixteenth,78
2940,2,,118,5,La,Sixteenth,80
2940,2,,118,4,"Do #",Half,79
2940,3,,118,4,Re,Half,77
2940,5,,118,5,Re,Half,77
2941,4,,118,6,Re,Half,77
3000,2,,118,5,La,Half,1
3000,5,,118,5,La,Half,80
3060,5,,118,5,Re,Half,80
3072,3,,111,5,"Do #",Whole,83
3123,5,,118,6,Mi,Half,78
3183,5,,118,5,Re,Half,80
3242,5,,118,6,Re,Half,81
3264,3,,111,5,Sol,Whole,84
3301,5,,118,5,Re,Half,80
3363,5,,118,5,Sol,Half,80
3423,5,,118,5,Sol,Half,80
3456,3,,111,6,Re,Whole,84
3480,5,,118,6,"Do #",Half,80
3542,5,,118,5,Sol,Half,80
3598,5,,118,5,Sol,Half,77
3648,3,,111,4,Si,Whole,86
3659,5,,118,6,"Do #",Half,78
3717,5,,118,5,Mi,Half,80
3781,5,,118,5,Re,Whole,81
3838,4,,118,6,Re,Sixteenth,77
3839,2,,118,5,La,Sixteenth,78
3839,3,,118,4,Re,Half,76
3839,4,,118,5,La,Sixteenth,81
3840,2,,118,4,"Do #",Half,80
3840,3,,111,5,Sol,Whole,87
3842,4,,118,5,Re,Half,78
3897,5,,118,5,Re,Half,80
3899,4,,118,5,La,Sixteenth,79
3901,3,,118,4,Re,Half,81
3902,2,,118,5,La,Sixteenth,81
3902,2,,118,4,"Do #",Half,80
3903,4,,118,6,Re,Sixteenth,81
3903,4,,118,5,Re,Half,80
3961,2,,118,5,La,Half,3
3963,5,,118,5,La,Half,80
4019,5,,118,5,Re,Half,80
4032,3,,111,6,Re,Whole,88
4079,5,,118,6,Mi,Half,78
4137,5,,118,5,Re,Half,80
4197,5,,118,6,Re,Half,78
4224,3,,111,4,Sol,Whole,90
4260,5,,118,5,Re,Half,77
4317,5,,118,5,Sol,Half,80
4377,5,,118,5,Sol,Half,78
4416,3,,111,6,Re,Whole,88
4437,5,,118,6,"Do #",Half,80
4501,5,,118,5,Sol,Half,77
4558,2,,118,4,"Sol #",Half,77
4561,5,,118,5,Sol,Half,80
4608,3,,111,5,Re,Whole,84
4622,2,,118,4,"Do #",Quarter,80
4622,5,,118,6,"Do #",Half,81
4651,2,,118,4,"Do #",Quarter,81
4677,2,,118,4,Re,Sixteenth,80
4680,2,,118,4,Re,Whole,80
4680,4,,118,6,"Do #",Whole,77
4681,5,,118,5,Mi,Half,81
4682,3,,118,5,"Do #",Whole,77
4737,5,,118,5,Re,Half,80
4798,2,,118,4,"Do #",Sixteenth,80
4798,2,,118,5,La,Whole,80
4798,4,,118,5,"Fa #",Sixteenth,81
4798,5,,118,5,"Do #",Half,77
4799,3,,118,3,"La #",Whole,77
4800,3,,111,6,Re,Whole,84
4800,4,,118,4,"La #",Sixteenth,80
4803,4,,118,5,"La #",Whole,78
4860,5,,118,5,Re,Half,80
4917,5,,118,5,La,Half,80
4918,2,,118,5,"Re #",Sixteenth,78
4919,2,,118,4,Re,Whole,81
4981,5,,118,5,Re,Half,81
4992,3,,111,5,La,Whole,84
5038,2,,118,5,"Re #",Half,78
5038,5,,118,6,Mi,Half,81
5098,5,,118,5,Re,Half,79
5102,2,,118,4,"Do #",Half,77
5157,5,,118,6,Re,Half,80
