Time,Track,Instrument,Beat,Octave,Note,Frequency,Duration,"Force (%)"
765,7,,116,4,Do#,138.59,Eighth,79
773,2,BASSLINE,116,6,Fa#,739.99,Sixteenth,79
776,2,BASSLINE,116,6,Re,587.33,Sixteenth,79
780,2,BASSLINE,116,4,La#,233.08,Sixteenth,79
780,2,BASSLINE,116,5,Fa#,369.99,Sixteenth,79
780,2,BASSLINE,116,5,La#,466.16,Sixteenth,79
780,2,BASSLINE,116,6,La#,932.33,Half,79
780,3,"INTRO LEAD",116,4,La#,233.08,Half,79
780,4,"BACKGROUND SYNTH",116,4,La#,233.08,Half,79
780,7,,116,4,Do#,138.59,Eighth,79
825,7,,116,4,Do#,138.59,Eighth,79
840,2,BASSLINE,116,4,La#,233.08,Sixteenth,79
840,2,BASSLINE,116,5,Fa#,369.99,Sixteenth,79
840,2,BASSLINE,116,5,La#,466.16,Sixteenth,79
840,2,BASSLINE,116,6,Re,587.33,Sixteenth,79
840,2,BASSLINE,116,6,Fa#,739.99,Sixteenth,79
840,2,BASSLINE,116,6,La#,932.33,Half,79
840,3,"INTRO LEAD",116,4,La#,233.08,Half,79
840,4,"BACKGROUND SYNTH",116,4,La#,233.08,Half,79
840,11,,118,6,Re,587.33,Whole,1
840,7,,116,4,Do#,138.59,Eighth,79
900,2,BASSLINE,116,5,Do#,277.18,Half,79
900,2,BASSLINE,116,5,Sol#,415.3,Half,79
900,2,BASSLINE,116,6,Do#,554.37,Half,79
900,2,BASSLINE,116,6,Re#,622.25,Half,79
900,2,BASSLINE,116,6,Sol#,830.61,Half,79
900,2,BASSLINE,116,7,Do#,1108.73,Half,79
900,3,"INTRO LEAD",116,5,Do#,277.18,Half,79
900,4,"BACKGROUND SYNTH",116,5,Do#,277.18,Half,79
900,7,,116,4,Do,130.81,Quarter,79
900,7,,116,3,Do#,69.3,Eighth,79
960,2,BASSLINE,112,4,Do#,138.59,Whole,100
960,2,BASSLINE,112,6,Do#,554.37,Whole,100
960,2,BASSLINE,112,6,Fa,698.46,Whole,100
960,2,BASSLINE,116,5,Do#,277.18,Half,94
960,2,BASSLINE,116,5,Sol#,415.3,Half,94
960,2,BASSLINE,116,6,Do#,554.37,Half,94
960,2,BASSLINE,116,6,Re#,622.25,Half,94
960,2,BASSLINE,116,6,Sol#,830.61,Half,94
960,2,BASSLINE,116,7,Do#,1108.73,Half,94
960,6,,112,3,Do#,69.3,Whole,100
960,3,"INTRO LEAD",116,5,Do#,277.18,Half,94
960,4,"BACKGROUND SYNTH",116,5,Do#,277.18,Half,94
960,11,,118,5,Re,293.66,Sixteenth,79
960,11,,118,4,Re,146.83,Sixteenth,79
960,11,,118,3,Re,73.42,Whole,79
960,7,,116,4,Do,130.81,Quarter,79
960,7,,116,3,Do#,69.3,Eighth,79
1020,2,BASSLINE,116,5,Do#,277.18,Half,94
1020,2,BASSLINE,116,5,Sol#,415.3,Half,94
1020,2,BASSLINE,116,6,Do#,554.37,Half,94
1020,2,BASSLINE,116,6,Re#,622.25,Half,94
1020,2,BASSLINE,116,6,Sol#,830.61,Half,94
1020,2,BASSLINE,116,7,Do#,1108.73,Half,94
1020,3,"INTRO LEAD",116,5,Do#,277.18,Half,94
1020,4,"BACKGROUND SYNTH",116,5,Do#,277.18,Half,94
1020,7,,116,4,Do,130.81,Quarter,79
1020,7,,116,3,Do#,69.3,Eighth,79
1080,2,BASSLINE,112,5,Sol#,415.3,Sixteenth,100
1080,2,BASSLINE,116,5,Do#,277.18,Half,94
1080,2,BASSLINE,116,5,Sol#,415.3,Half,94
1080,2,BASSLINE,116,6,Do#,554.37,Half,94
1080,2,BASSLINE,116,6,Re#,622.25,Half,94
1080,2,BASSLINE,116,6,Sol#,830.61,Half,94
1080,2,BASSLINE,116,7,Do#,1108.73,Whole,94
1080,3,"INTRO LEAD",116,5,Do#,277.18,Half,94
1080,4,"BACKGROUND SYNTH",116,5,Do#,277.18,Half,94
1080,7,,116,4,Do,130.81,Quarter,79
1080,7,,116,3,Do#,69.3,Eighth,79
1200,2,BASSLINE,112,6,Fa,698.46,Sixteenth,100
1200,2,BASSLINE,112,6,Do#,554.37,Whole,100
1200,7,,116,4,Sol#,207.65,Eighth,79
1260,2,BASSLINE,116,4,La#,233.08,Half,79
1260,2,BASSLINE,116,5,Fa#,369.99,Half,79
1260,2,BASSLINE,116,5,La#,466.16,Half,79
1260,2,BASSLINE,116,6,Re,587.33,Half,79
1260,2,BASSLINE,116,6,Fa#,739.99,Half,79
1260,2,BASSLINE,116,6,La#,932.33,Half,79
1260,3,"INTRO LEAD",116,4,La#,233.08,Half,79
1260,4,"BACKGROUND SYNTH",116,4,La#,233.08,Half,79
1260,7,,116,4,Do#,138.59,Eighth,79
1320,2,BASSLINE,112,5,Sol#,415.3,Sixteenth,100
1320,2,BASSLINE,116,6,La#,932.33,Half,79
1320,2,BASSLINE,116,6,Fa#,739.99,Half,79
1320,2,BASSLINE,116,6,Re,587.33,Half,79
1320,2,BASSLINE,116,5,La#,466.16,Half,79
1320,2,BASSLINE,116,5,Fa#,369.99,Half,79
1320,2,BASSLINE,116,4,La#,233.08,Half,79
1320,3,"INTRO LEAD",116,4,La#,233.08,Half,79
