Time,Track,Instrument,Beat,Octave,Note,Duration,"Force (%)"
0,3,"INTRO LEAD",69,4,Mi,Whole,100
0,3,"INTRO LEAD",84,5,La,Whole,71
60,3,"INTRO LEAD",69,5,Sol,Whole,100
96,3,"INTRO LEAD",84,6,Do,Whole,71
120,3,"INTRO LEAD",69,5,"La #",Whole,100
180,3,"INTRO LEAD",69,6,Mi,Whole,100
192,3,"INTRO LEAD",84,6,Mi,Whole,71
240,3,"INTRO LEAD",69,5,"La #",Whole,100
288,3,"INTRO LEAD",84,6,La,Whole,71
300,3,"INTRO LEAD",69,5,Sol,Whole,100
324,15,,84,5,"La #",Whole,74
360,3,"INTRO LEAD",69,4,Mi,Whole,100
384,3,"INTRO LEAD",84,6,Si,Whole,71
384,3,"INTRO LEAD",84,5,"Sol #",Whole,71
420,3,"INTRO LEAD",69,5,Sol,Whole,100
480,3,"INTRO LEAD",69,5,"La #",Whole,100
480,3,"INTRO LEAD",84,6,Mi,Whole,71
540,3,"INTRO LEAD",69,6,Mi,Whole,100
576,3,"INTRO LEAD",84,6,Do,Whole,71
600,3,"INTRO LEAD",69,5,"La #",Whole,100
660,3,"INTRO LEAD",69,5,Sol,Whole,100
672,3,"INTRO LEAD",84,6,Si,Whole,71
720,3,"INTRO LEAD",69,4,Mi,Whole,100
744,15,,84,6,"Do #",Whole,74
765,7,,116,4,"Do #",Eighth,79
768,3,"INTRO LEAD",84,7,Do,Whole,71
768,3,"INTRO LEAD",84,5,Sol,Whole,71
773,2,BASSLINE,116,6,"Fa #",Sixteenth,79
776,2,BASSLINE,116,6,Re,Sixteenth,79
780,2,BASSLINE,116,4,"La #",Sixteenth,79
780,2,BASSLINE,116,5,"Fa #",Sixteenth,79
780,2,BASSLINE,116,5,"La #",Sixteenth,79
780,2,BASSLINE,116,6,"La #",Half,79
780,3,"INTRO LEAD",69,5,Sol,Whole,100
780,3,"INTRO LEAD",116,4,"La #",Half,79
780,4,"BACKGROUND SYNTH",116,4,"La #",Half,79
780,7,,116,4,"Do #",Eighth,79
825,7,,116,4,"Do #",Eighth,79
840,2,BASSLINE,116,4,"La #",Sixteenth,79
840,2,BASSLINE,116,5,"Fa #",Sixteenth,79
840,2,BASSLINE,116,5,"La #",Sixteenth,79
840,2,BASSLINE,116,6,Re,Sixteenth,79
840,2,BASSLINE,116,6,"Fa #",Sixteenth,79
840,2,BASSLINE,116,6,"La #",Half,79
840,3,"INTRO LEAD",69,5,"La #",Whole,100
840,3,"INTRO LEAD",116,4,"La #",Half,79
